epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.7124,1.07894,2.79958,1.49863,0.62081,0.56604,0.61079,0.3728,1.24485,1.77978,1.73434,0.000185088,0.000185088,0.000185088
2,174.949,1.10416,2.02634,1.49304,0.66488,0.60249,0.64288,0.36987,1.34112,1.66007,1.8673,0.000363087,0.000363087,0.000363087
3,257.665,1.11047,1.84405,1.49949,0.65758,0.60705,0.64181,0.38506,1.2808,1.68784,1.78913,0.000533746,0.000533746,0.000533746
4,338.558,1.10038,1.7141,1.49031,0.69693,0.61898,0.67749,0.42085,1.24729,1.52179,1.76487,0.000522974,0.000522974,0.000522974
5,422.243,1.09247,1.58431,1.47676,0.75475,0.6754,0.74905,0.48248,1.17701,1.27193,1.66012,0.000511965,0.000511965,0.000511965
6,505.603,1.05117,1.48423,1.45135,0.75185,0.69662,0.75973,0.51186,1.14413,1.194,1.62738,0.000500956,0.000500956,0.000500956
7,589.728,1.03919,1.42034,1.44098,0.7528,0.68326,0.7504,0.4969,1.15354,1.27757,1.63864,0.000489947,0.000489947,0.000489947
8,669.988,1.02585,1.35758,1.42746,0.79968,0.73023,0.80384,0.54327,1.12697,1.10723,1.60351,0.000478938,0.000478938,0.000478938
9,750.511,1.0191,1.3239,1.42363,0.8154,0.73776,0.8112,0.5513,1.11691,1.05026,1.58871,0.00046793,0.00046793,0.00046793
10,827.42,1.00026,1.29423,1.41213,0.82861,0.74671,0.82245,0.56233,1.09063,1.00932,1.56451,0.000456921,0.000456921,0.000456921
11,907.555,0.98828,1.23803,1.40296,0.82517,0.75746,0.8254,0.56959,1.06975,1.00637,1.54681,0.000445912,0.000445912,0.000445912
12,987.317,0.97787,1.21765,1.39497,0.84018,0.77819,0.84062,0.58476,1.05138,0.93771,1.51745,0.000434903,0.000434903,0.000434903
13,1067.18,0.95944,1.18512,1.38001,0.83435,0.78491,0.84786,0.59759,1.04105,0.92499,1.50295,0.000423894,0.000423894,0.000423894
14,1150.15,0.9607,1.16314,1.38474,0.85687,0.76436,0.84793,0.59914,1.03579,0.95032,1.5032,0.000412886,0.000412886,0.000412886
15,1228.18,0.95279,1.13907,1.3742,0.854,0.79922,0.86583,0.61339,1.02663,0.86591,1.48005,0.000401877,0.000401877,0.000401877
16,1306.26,0.94368,1.1173,1.36521,0.83915,0.77892,0.84283,0.60241,1.00594,0.89241,1.47898,0.000390868,0.000390868,0.000390868
17,1384.93,0.93067,1.09254,1.35365,0.84965,0.79596,0.86365,0.62869,0.98368,0.84665,1.45879,0.000379859,0.000379859,0.000379859
